story,story_uid,sound_id,kind,start,sound,onset,duration,orig_time,extras,phoneme,sequence_id,condition,word_index,speech_rate,voice,pronounced,word
cable_spool_fort,1.0,0.0,phoneme,12.28,stimuli/audio/cable_spool_fort_0.wav,41.34,0.0600000000000005,2000-01-01 00:00:00+00:00,{},b_B,4.0,sentence,14.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,12.28,stimuli/audio/cable_spool_fort_0.wav,41.34,0.2200000000000006,2000-01-01 00:00:00+00:00,{},,4.0,sentence,14.0,190.0,Samantha,1.0,big
cable_spool_fort,1.0,0.0,phoneme,12.34,stimuli/audio/cable_spool_fort_0.wav,41.4,0.0899999999999998,2000-01-01 00:00:00+00:00,{},ih_I,4.0,sentence,14.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,12.43,stimuli/audio/cable_spool_fort_0.wav,41.49,0.0700000000000002,2000-01-01 00:00:00+00:00,{},g_E,4.0,sentence,14.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,12.5,stimuli/audio/cable_spool_fort_0.wav,41.56,0.08,2000-01-01 00:00:00+00:00,{},r_B,4.0,sentence,15.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,12.5,stimuli/audio/cable_spool_fort_0.wav,41.56,0.4199999999999999,2000-01-01 00:00:00+00:00,{},,4.0,sentence,15.0,190.0,Samantha,1.0,rock
cable_spool_fort,1.0,0.0,phoneme,12.58,stimuli/audio/cable_spool_fort_0.wav,41.64,0.1799999999999997,2000-01-01 00:00:00+00:00,{},aa_I,4.0,sentence,15.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,12.76,stimuli/audio/cable_spool_fort_0.wav,41.82,0.1600000000000001,2000-01-01 00:00:00+00:00,{},k_E,4.0,sentence,15.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,13.049999,stimuli/audio/cable_spool_fort_0.wav,42.11,0.0999999999999996,2000-01-01 00:00:00+00:00,{},r_B,4.0,sentence,16.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,13.049999,stimuli/audio/cable_spool_fort_0.wav,42.11,0.3900000000000005,2000-01-01 00:00:00+00:00,{},,4.0,sentence,16.0,190.0,Samantha,1.0,Roy
cable_spool_fort,1.0,0.0,phoneme,13.149999,stimuli/audio/cable_spool_fort_0.wav,42.21,0.2900000000000009,2000-01-01 00:00:00+00:00,{},oy_E,4.0,sentence,16.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,14.0,stimuli/audio/cable_spool_fort_0.wav,43.06,0.1199999999999992,2000-01-01 00:00:00+00:00,{},r_B,5.0,sentence,0.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,14.0,stimuli/audio/cable_spool_fort_0.wav,43.06,0.2899999999999991,2000-01-01 00:00:00+00:00,{},,5.0,sentence,0.0,190.0,Samantha,1.0,Roy
cable_spool_fort,1.0,0.0,phoneme,14.12,stimuli/audio/cable_spool_fort_0.wav,43.18,0.1699999999999999,2000-01-01 00:00:00+00:00,{},oy_E,5.0,sentence,0.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,14.29,stimuli/audio/cable_spool_fort_0.wav,43.35,0.0700000000000002,2000-01-01 00:00:00+00:00,{},s_B,5.0,sentence,1.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,word,14.29,stimuli/audio/cable_spool_fort_0.wav,43.35,0.3400000000000016,2000-01-01 00:00:00+00:00,{},,5.0,sentence,1.0,190.0,Samantha,1.0,stooped
cable_spool_fort,1.0,0.0,phoneme,14.36,stimuli/audio/cable_spool_fort_0.wav,43.42,0.0899999999999998,2000-01-01 00:00:00+00:00,{},t_I,5.0,sentence,1.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,14.45,stimuli/audio/cable_spool_fort_0.wav,43.51,0.0899999999999998,2000-01-01 00:00:00+00:00,{},uw_I,5.0,sentence,1.0,190.0,Samantha,1.0,
cable_spool_fort,1.0,0.0,phoneme,14.54,stimuli/audio/cable_spool_fort_0.wav,43.6,0.08,2000-01-01 00:00:00+00:00,{},p_I,5.0,sentence,1.0,190.0,Samantha,1.0,
